clade	n_humboldt_samples_in_clade
intro_clade_0	10
intro_clade_1	1
intro_clade_2	4
intro_clade_3	2
intro_clade_4	2
intro_clade_5	1
intro_clade_6	1
intro_clade_7	1
intro_clade_8	16
intro_clade_9	1
intro_clade_10	1
intro_clade_11	222
intro_clade_12	4
intro_clade_13	1
intro_clade_14	1
intro_clade_15	2
intro_clade_16	1
intro_clade_17	12
intro_clade_18	1
intro_clade_19	6
intro_clade_20	7
intro_clade_21	1
intro_clade_22	1
intro_clade_23	1
intro_clade_24	11
intro_clade_25	1
intro_clade_26	1
intro_clade_27	2
intro_clade_28	47
intro_clade_29	2
intro_clade_30	3
intro_clade_31	1
intro_clade_32	2
intro_clade_33	4
intro_clade_34	1
intro_clade_35	1
intro_clade_36	1
intro_clade_37	1
intro_clade_38	2
intro_clade_39	1
intro_clade_40	1
intro_clade_41	6
intro_clade_42	1
intro_clade_43	29
intro_clade_44	10
intro_clade_45	2
intro_clade_46	9
intro_clade_47	1
intro_clade_48	1
intro_clade_49	2
intro_clade_50	3
intro_clade_51	2
intro_clade_52	1
intro_clade_53	1
intro_clade_54	4
intro_clade_55	1
intro_clade_56	18
intro_clade_57	2
intro_clade_58	2
intro_clade_59	1
intro_clade_60	6
intro_clade_61	2
intro_clade_62	1
intro_clade_63	11
intro_clade_64	1
intro_clade_65	1
intro_clade_66	2
intro_clade_67	1
intro_clade_68	1
intro_clade_69	1
intro_clade_70	1
intro_clade_71	15
intro_clade_72	5
intro_clade_73	1
intro_clade_74	1
intro_clade_75	8
intro_clade_76	1
intro_clade_77	2
intro_clade_78	2
intro_clade_79	24
intro_clade_80	1
intro_clade_81	23
intro_clade_82	1
intro_clade_83	5
intro_clade_84	3
intro_clade_85	1
intro_clade_86	1
intro_clade_87	1
intro_clade_88	5
intro_clade_89	1
intro_clade_90	2
intro_clade_91	1
intro_clade_92	5
intro_clade_93	1
intro_clade_94	1
intro_clade_95	1
intro_clade_96	1
intro_clade_97	3
intro_clade_98	1
intro_clade_99	1
